Scraping 189 ASINs from Amazon...

1/189 B0D2HQXTR6: FAILED - undefined
2/189 B0DQ8Y7G8W: FAILED - undefined
3/189 B0CTBH7GBM: FAILED - undefined
4/189 B0DNN3JLR4: FAILED - undefined
5/189 B0D791SBYS: FAILED - undefined
6/189 B0DZY385G8: FAILED - undefined
7/189 B0DK4N29C2: FAILED - undefined
8/189 B0DGCY5VDN: FAILED - undefined
9/189 B0FGXFL5Q1: FAILED - undefined
10/189 B0FF2JQ94T: FAILED - undefined
11/189 B0F2B1L2X5: FAILED - undefined
12/189 B0DSPPZNF1: FAILED - undefined
13/189 B0FD8J7D7G: FAILED - undefined
14/189 B0CM2WBYJQ: FAILED - undefined
15/189 B0DL6GFF6Z: FAILED - undefined
16/189 B0D791QMJK: FAILED - undefined
17/189 B0DZH9K8TK: FAILED - undefined
18/189 B0F2TFJDSG: FAILED - undefined
19/189 B0DZH643NQ: FAILED - undefined
20/189 B0DVZR8HWW: FAILED - undefined
21/189 B0D8KBWMVM: FAILED - undefined
22/189 B0F8NHW1P8: FAILED - undefined
23/189 B0DPSZWNZC: FAILED - undefined
24/189 B0DQSKLN8Q: FAILED - undefined
25/189 B0DKFFPMBD: FAILED - undefined

--- 25/189 done (0ok/25fail) 66s elapsed ---

26/189 B0F1C1639J: FAILED - undefined
27/189 B0DXZPF5DT: FAILED - undefined
28/189 B0D9NV52HP: FAILED - undefined
29/189 B0DXZXFX6B: FAILED - undefined
30/189 B0D2NDN49Q: FAILED - undefined
31/189 B0DHKC264G: FAILED - undefined
32/189 B0DY7LH5G1: FAILED - undefined
33/189 B0DXJYTGKG: FAILED - undefined
34/189 B0F4K9GZ7K: FAILED - undefined
35/189 B0DC6MJ3SP: FAILED - undefined
36/189 B0C4F3BG68: FAILED - undefined
37/189 B0DJNLJ4YT: FAILED - undefined
38/189 B0D3P8WVKG: FAILED - undefined
39/189 B0D9BLXYPJ: FAILED - undefined
40/189 B0DJCSF4C2: FAILED - undefined
41/189 B0DH2PBBT9: FAILED - undefined
42/189 B0F47TPCR7: FAILED - undefined
43/189 B0DK4NPJGF: FAILED - undefined
44/189 B0DHG31P29: FAILED - undefined
45/189 B0DJQVHWFT: FAILED - undefined
46/189 B0D8Q11LVP: FAILED - undefined
47/189 B0F5HLNBLM: FAILED - undefined
48/189 B0FF9BHSNK: FAILED - undefined
49/189 B0CL7TVLSQ: FAILED - undefined
50/189 B0DJNSNM95: FAILED - undefined

--- 50/189 done (0ok/50fail) 124s elapsed ---

51/189 B0DHGFLNGB: FAILED - undefined
52/189 B0F9DYS1JH: FAILED - undefined
53/189 B0DHV86KTJ: FAILED - undefined
54/189 B0FBGMFKHM: FAILED - undefined
55/189 B0DHV72D36: FAILED - undefined
56/189 B0DY7PHHCG: FAILED - undefined
57/189 B0F9L3RFL5: FAILED - undefined
58/189 B0DK4NKYXG: FAILED - undefined
59/189 B0F5HP9MYK: FAILED - undefined
60/189 B0DBSKML3C: FAILED - undefined
61/189 B0F2H87FH3: FAILED - undefined
62/189 B0BLH2RY9F: FAILED - undefined
63/189 B0D31RCP8W: FAILED - undefined
64/189 B0CMQJHT76: FAILED - undefined
65/189 B0DZGFKS1L: FAILED - undefined
66/189 B0D8JLT2YP: FAILED - undefined
67/189 B0DHR97N1B: FAILED - undefined
68/189 B0DK4MPGLG: FAILED - undefined
69/189 B0DNTDYMKB: FAILED - undefined
70/189 B0DJX46SFN: FAILED - undefined
71/189 B0FCQTNRBH: FAILED - undefined
72/189 B0D79649DR: FAILED - undefined
73/189 B0DJQW2GQH: FAILED - undefined
74/189 B0DHGB7S1D: FAILED - undefined
75/189 B0DHV7GK2S: FAILED - undefined

--- 75/189 done (0ok/75fail) 189s elapsed ---

